time(millisecond),latitude,longitude,height_above_takeoff(feet),height_sonar(feet),compass_heading(degrees),roll(degrees),battery_percent,voltageCell1
202100,12.8567212318806,100.97301910688,10.826772,11.48294,337.8,-0.5,87,4.129
202200,12.8567238074146,100.973018154154,10.826772,11.48294,337.8,-0.4,87,4.129
202300,12.8567270740603,100.973016956527,10.826772,11.48294,337.8,-0.2,87,4.129
202400,12.8567305786671,100.973015679322,10.826772,11.48294,337.7,0,87,4.129
202500,12.8567353201782,100.973013905917,10.826772,11.48294,337.7,-0.1,87,4.131
202600,12.8567389834346,100.973012565575,10.826772,11.48294,337.7,0.1,87,4.131
202700,12.8567412625593,100.973011631891,10.826772,11.48294,337.7,0,87,4.131
202800,12.8567434388574,100.973010698102,10.826772,11.48294,337.8,-0.1,87,4.131
202900,12.8567442627459,100.973010084838,10.826772,11.48294,336.4,-0.1,87,4.131
203000,12.8567483877118,100.973008497433,10.826772,11.48294,335,-0.2,87,4.131
203100,12.856753688779,100.973006457079,10.826772,11.48294,334.5,-0.2,87,4.131
203200,12.856758819778,100.973004394387,10.826772,11.48294,334.5,-0.1,87,4.131
203300,12.8567665888564,100.973001161089,10.826772,11.48294,333.4,0,87,4.131
203400,12.8567716045551,100.97299913063,10.826772,11.48294,330.7,0.5,87,4.131
203500,12.8567768211386,100.972997011138,10.826772,11.48294,329.5,0.1,87,4.125
203600,12.8567810683876,100.972995238427,10.826772,11.48294,329.3,-0.1,87,4.125
203700,12.8567851043884,100.972993581971,10.826772,11.48294,329.3,-0.3,87,4.125
203800,12.8567893245726,100.972991694656,10.826772,11.48294,329.2,-0.2,87,4.125
203900,12.8567938433093,100.972989631368,10.826772,11.811024,329.3,-0.3,87,4.125
204000,12.8567978657093,100.972987775599,10.826772,11.811024,329.3,-0.3,87,4.125
204100,12.856801506884,100.972986030867,10.826772,11.811024,329.2,-0.2,87,4.125
204200,12.8568030958285,100.972984999996,10.826772,11.811024,329.2,-0.1,87,4.125
204300,12.8568082993845,100.972982527237,10.498688,11.811024,329.3,0,87,4.125
204400,12.8568133806769,100.972980093582,10.498688,11.811024,329.3,-0.1,87,4.125
204500,12.8568187522362,100.972977496782,10.498688,11.811024,329.3,-0.3,87,4.125
204600,12.8568253115826,100.972974334081,10.498688,11.811024,329.4,-0.1,87,4.13
204700,12.8568282607468,100.972972788381,10.498688,11.811024,329.4,-0.2,87,4.13
204800,12.8568306944368,100.972971443417,10.498688,11.811024,329.4,-0.5,87,4.13
204900,12.8568344147539,100.97296949018,10.498688,11.811024,329.2,-0.7,87,4.13
205000,12.8568346820662,100.972969133856,10.498688,11.811024,328.8,-1.6,87,4.13
205100,12.8568405324923,100.972966299184,10.170604,12.139108,330,-0.7,87,4.13
205200,12.8568467316268,100.972963351877,10.170604,12.139108,332.8,0,87,4.13
205300,12.8568521049188,100.972960777414,9.84252,12.139108,333.6,-0.6,87,4.13
205400,12.8568620796203,100.972956314372,9.84252,12.139108,334.9,-1,87,4.13
205500,12.8568659791184,100.972954451644,9.84252,12.139108,338.5,1.2,87,4.13
205600,12.8568686385759,100.972953225449,9.84252,12.139108,341,1.5,87,4.127
205700,12.8568708229055,100.972952241607,9.84252,12.139108,342.4,2.6,87,4.127
205800,12.8568723375147,100.972951665443,9.84252,12.139108,342.6,2.5,87,4.127
205900,12.8568712502092,100.972952746929,10.170604,12.139108,344.6,2.3,87,4.127
206000,12.8568722476507,100.972952410991,10.170604,12.139108,349.1,3.5,87,4.127
206100,12.8568719675062,100.972952759301,10.170604,12.139108,353.2,4.6,87,4.127
206200,12.8568717493599,100.972953147664,10.498688,12.139108,354.8,4.1,87,4.127
206300,12.8568706784299,100.972954426389,10.498688,12.467192,355.2,2.2,87,4.127
206400,12.856871250118,100.972954512276,10.498688,12.467192,356.5,0.4,87,4.127
206500,12.8568718612405,100.972954611713,10.498688,12.139108,0.5,-0.9,87,4.127
206600,12.8568724101564,100.972954706334,10.826772,12.139108,3.8,-1.2,87,4.126
206700,12.8568732015671,100.972955049759,10.826772,12.139108,5.2,-0.6,87,4.126
206800,12.8568738758732,100.972955266664,10.826772,12.139108,5.5,-0.5,87,4.126
206900,12.8568748458917,100.972955455573,10.826772,12.139108,5.5,-1.1,87,4.126
207000,12.8568762495974,100.972955604922,10.826772,12.139108,5.7,-0.9,87,4.126
207100,12.8568791057318,100.972955879507,10.826772,12.139108,5.6,-1.2,87,4.126
207200,12.856881470949,100.972956100876,10.826772,12.139108,5.6,-1.4,87,4.126
207300,12.8568838432663,100.972956390768,10.826772,12.139108,5.7,-1.2,87,4.126
207400,12.8568863117529,100.97295663045,10.826772,12.139108,5.5,-0.5,87,4.126
207500,12.8568888221621,100.972956854192,10.826772,12.139108,5.4,0.4,87,4.126
207600,12.8568918285824,100.972957012099,10.826772,12.139108,5.1,0.3,87,4.122
207700,12.8568936173956,100.972957155525,10.826772,12.139108,5.5,0.4,87,4.122
207800,12.8568950019768,100.972957194453,10.826772,11.811024,5.6,0,87,4.122
207900,12.8568961880703,100.972957196773,10.826772,11.811024,5.6,-0.3,87,4.122
208000,12.8568974765082,100.97295696804,10.826772,11.811024,6,-0.5,87,4.122
208100,12.8568971942272,100.972956972293,10.826772,11.811024,5.8,0.3,87,4.122
208200,12.8568968008473,100.972956956001,11.154856,12.139108,5.6,0.2,87,4.122
208300,12.8568970900589,100.972956954402,11.48294,12.467192,5.7,-0.5,87,4.122
208400,12.8568968080906,100.972956810783,11.811024,12.795276,5.7,-0.9,87,4.122
208500,12.8568971546495,100.972956828322,12.139108,13.12336,5.6,0,87,4.122
208600,12.8568972770564,100.972956815229,12.467192,13.451444,5.6,0.1,86,4.095
208700,12.8568972418038,100.97295681131,12.795276,13.451444,5.6,-0.5,86,4.095
208800,12.8568966452201,100.972956864262,12.795276,13.779528,5.6,-0.5,86,4.095
208900,12.8568964420945,100.972956857918,12.795276,13.779528,5.4,-0.6,86,4.095
209000,12.8568964291191,100.972956834913,12.795276,13.779528,5.4,-0.4,86,4.095
209100,12.856896781358,100.972956832663,13.12336,13.779528,5.4,0.2,86,4.095
209200,12.8568970619455,100.972956818516,13.12336,13.779528,5.4,0,86,4.095
209300,12.8568977303631,100.972956839183,13.12336,13.779528,5.4,0.3,86,4.095
209400,12.8568977725984,100.972956794561,13.12336,13.779528,5.4,0.5,86,4.095
209500,12.8568978100917,100.972956753648,13.12336,13.779528,5.5,0.7,86,4.095
209600,12.8568977342453,100.972956747813,13.12336,13.779528,5.6,0.8,86,4.095
209700,12.8568976129327,100.972956807303,13.12336,13.779528,5.6,0.4,86,4.126
209800,12.8568975500618,100.97295682493,13.12336,13.779528,5.6,0,86,4.126
209900,12.856897508087,100.972956846723,13.12336,14.107612,5.7,-0.5,86,4.126
210000,12.8568974533192,100.972956890677,13.12336,13.779528,5.7,-0.6,86,4.126
210100,12.8568973134293,100.972957009235,13.12336,13.779528,5.6,-1,86,4.126
210200,12.856897249464,100.972957069832,13.12336,13.779528,5.6,-1.4,86,4.126
210300,12.8568972088962,100.972957108092,13.12336,13.779528,5.6,-1.1,86,4.126
210400,12.8568972353682,100.972957152239,13.12336,13.779528,5.6,-1,86,4.126
210500,12.8568973658522,100.972957210727,13.12336,13.779528,5.6,-0.7,86,4.126
210600,12.8568973708548,100.972957229409,13.12336,13.779528,5.7,-0.2,86,4.126
210700,12.8568973818761,100.972957204277,13.12336,13.779528,5.7,-0.1,86,4.125
210800,12.8568974024857,100.972957141185,13.12336,13.779528,5.7,-0.2,86,4.125
210900,12.856897422496,100.972957114911,13.12336,13.779528,5.7,-0.3,86,4.125
211000,12.856897449932,100.972956993066,13.12336,13.779528,5.6,-0.3,86,4.125
211100,12.856897472626,100.972956940448,13.12336,13.779528,5.6,-0.4,86,4.125
211200,12.856897496258,100.972956883594,13.12336,13.779528,5.5,-0.2,86,4.125
211300,12.8568975228342,100.972956883735,13.12336,13.779528,5.5,-0.2,86,4.125
211400,12.8568975101975,100.972956712822,13.12336,13.779528,5.5,0,86,4.125
211500,12.8568975310155,100.972956684,13.12336,13.779528,5.5,-0.2,86,4.125
211600,12.8568975815363,100.97295668762,13.12336,13.779528,5.5,-4.8,86,4.125
211700,12.8568976446939,100.972956643262,13.12336,13.779528,5.2,-13.8,86,4.124
211800,12.8568978232495,100.972956495847,13.12336,13.779528,5.3,-16.8,86,4.124
211900,12.8568979168655,100.972956047133,13.12336,13.779528,5.7,-3.1,86,4.124
212000,12.856897993702,100.972955525239,13.12336,13.779528,5.9,4.4,86,4.124
212100,12.8568980493818,100.97295503048,13.12336,13.779528,5.7,5.4,86,4.124
212200,12.8568979820293,100.972954535123,13.12336,13.779528,5.7,5,86,4.124
212300,12.856897972884,100.972954190187,13.12336,13.779528,5.6,4.1,86,4.124
212400,12.856897996073,100.97295379678,13.12336,13.779528,5.6,3.1,86,4.124
212500,12.8568980264012,100.97295342601,13.12336,14.107612,5.7,1.6,86,4.124
212600,12.8568980771044,100.97295281083,13.12336,14.107612,5.6,0.7,86,4.124
212700,12.8568980266357,100.9729528167,13.12336,14.107612,5.3,-9.6,86,4.124
212800,12.8568979318733,100.972952952182,13.12336,14.107612,5.4,-1.9,86,4.124
212900,12.8568978711388,100.972952889898,13.12336,14.107612,5.6,2.6,86,4.124
213000,12.8568978427127,100.972952678212,13.12336,14.107612,5.4,3,86,4.124
213100,12.8568977152772,100.972952720286,13.12336,14.107612,5.5,2.4,86,4.124
213200,12.8568976719736,100.972952391184,13.12336,14.107612,5.6,-2.1,86,4.124
213300,12.8568976039177,100.972952164473,13.12336,14.107612,5.4,-12.3,86,4.124
213400,12.8568975770809,100.972951801909,13.12336,14.107612,5.6,-3.1,86,4.124
213500,12.8568975724431,100.972951209822,13.451444,14.107612,5.8,3.1,86,4.124
213600,12.8568975820835,100.972950926274,13.451444,14.107612,5.6,3,86,4.124
213700,12.8568976054289,100.972950714132,13.451444,14.107612,5.5,-8.7,86,4.123
213800,12.8568976146263,100.972950352517,13.451444,14.107612,5.5,-14.8,86,4.123
213900,12.8568977086331,100.972949754086,13.451444,13.779528,5.5,-13.8,86,4.123
214000,12.8568977722076,100.97294894244,13.451444,14.107612,5.9,4.9,86,4.123
214100,12.8568978508419,100.972948300353,13.451444,14.107612,5.9,8.7,86,4.123
214200,12.8568978989136,100.972947774962,13.451444,14.107612,5.8,8.3,86,4.123
214300,12.8568978897682,100.972947258779,13.451444,14.107612,5.7,7.1,86,4.123
214400,12.8568978058447,100.972946868237,13.451444,14.107612,5.7,5.6,86,4.123
214500,12.8568978056623,100.972946406729,13.451444,14.107612,5.7,2.7,86,4.123
